,city,job_title,salary
1423,houston,google cloud solutions architect,165000
699,philadelphia,quantitative business analyst,166400
235,san francisco,data lead,176800
58,new york,data lead,187500
1532,washington dc,data lead,208000
1578,washington dc,data lead,225000
0,new york,data scientist,
1,new york,applied machine learning scientist engineer   unified search team,
2,new york,data scientist  rd0057 ,
3,new york,ai research scientist,
4,new york,senior big data engineer,
5,new york,data scientist  entry level ,
6,new york,hbo data scientist  applied analytics,
7,new york,junior data scientist,
8,new york,data scientist,
9,new york,data integrity analyst,
10,new york,us data scientist  royal canin   mars petcare,
11,new york,junior data scientist,
12,new york,data scientist  intern  2019 ,
13,new york,behavioral scientist,
14,new york,data scientist,
15,new york,data scientist,
16,new york,data scientist,
17,new york,us data scientist  pet nutrition   mars petcare,
18,new york,junior data scientist,
19,new york,data   analysis intern,
20,new york,junior data analyst,
21,new york,associate data scientist,
22,new york,2019 phd data scientist internship   ubereverything   new york,
23,new york,data scientist,
24,new york,hbo data scientist  content science,
25,new york,data science intern,
26,new york,summer internship â€“ data scientist,
28,new york,presidential associate program fall 2019,
29,new york,data scientist intern,
31,new york,data warehouse intern,
32,new york,data scientist,
33,new york,data scientist  engineering,
34,new york,quantitative data analyst,
35,new york,data scientist intern,
36,new york,data scientist quantitative analyst intern  summer 2018,
37,new york,data scientist  analytics,
38,new york,data scientist  analytics,
39,new york,game data scientist,
40,new york,data scientist,
41,new york,data scientist,
43,new york,principle data scientist,
46,new york,data scientist,
47,new york,data scientist,
48,new york,data scientist,
49,new york,data scientist  engineering support analytics  google cloud,
51,new york,accounting data scientist,
52,new york,data scientist,
53,new york,data engineer  baseball operations,
54,new york,data analyst scientist,
55,new york,data scientist,
56,new york,data scientist,
57,new york,data scientist,
60,new york,data scientist   nlp,
61,new york,jr  data scientist,
62,new york,data scientist,
63,new york,data scientist: nlp specialist,
64,new york,data scientist natural language processing,
65,new york,presidential management associate program fall 2019,
66,new york,quantitative analysis  full time analyst  north america   2019 ,
67,new york,machine learning and artificial intelligence scientist,
68,new york,data scientist  product,
69,new york,data scientist,
70,new york,clinical data scientist,
71,new york,data scientist,
72,new york,data scientist,
73,new york,data scientist,
74,new york,data scientist,
75,new york,spring 2019 internship  data science practica  ny ,
76,new york,venture capital analyst   data scientist,
77,new york,data scientist  analytics,
78,new york,data scientist  product ,
79,new york,data scientist  consumer revenue,
80,new york,senior research scientist,
81,new york,data scientist,
82,new york,engineer  data team,
83,new york,senior analyst  data and analysis,
85,new york,grc research intern,
86,new york,materials sourcing and research specialist,
87,new york,data analyst,
88,new york,data scientist,
89,new york,customer data scientist,
90,new york,office assistant,
91,new york,data scientist,
92,new york,quantitative researcher   internship  bachelor's master's ,
93,new york,data scientist,
94,new york,data scientist  deep learning ,
95,new york,data scientist,
96,chicago,senior data scientist,
97,chicago,data scientist,
98,chicago,data scientist,
99,chicago,data scientist,
103,chicago,entry   level geologist   environmental scientist,
104,chicago,associate data scientist,
105,chicago,data scientist,
106,chicago,data scientist,
107,chicago,data scientist  applied machine learning,
108,chicago,bioinformatics internship  academic year 2018 2019 ,
109,chicago,data science internship   12 months,
110,chicago,research development bakery scientist,
111,chicago,data scientist,
112,chicago,developer   quantitative analyst  entry level    chicago,
114,chicago,data scientist,
115,chicago,data scientist i,
116,chicago,financial analyst  research affairs,
117,chicago,data scientist,
118,chicago,data scientist,
120,chicago,data scientist,
121,chicago,intern: data scientist   imaging science,
122,chicago,sport scientist  network professional,
123,chicago,data scientist,
124,chicago,research development bakery scientist,
125,chicago,senior data scientist,
126,chicago,quantitative analyst intern,
127,chicago,data scientist  optimization,
128,chicago,data scientist ii,
129,chicago,data scientist,
130,chicago,data scientist intern,
131,chicago,data scientist,
132,chicago,ngs lab staff scientist,
133,chicago,data scientist,
135,chicago,natural language processing data science intern  fall 2018 ,
136,chicago,data scientist,
137,chicago,data scientist,
138,chicago,data scientist,
139,chicago,data scientist,
140,chicago,environmental scientist  due diligence,
141,chicago,jr  data scientiest,
142,chicago,entry level construction professional,
143,chicago,innovation technologist,
144,chicago,junior scientist engineer,
145,chicago,sales research analyst,
146,chicago,data scientist,
147,chicago,office assistant,
148,chicago,machine learning data scientist,
149,chicago,junior variant scientist,
150,chicago,data scientist,
151,chicago,data scientist,
152,chicago,staff scientist,
153,chicago,data scientist,
154,chicago,research development technician,
155,chicago,data scientist  magellan presales,
156,chicago,field applications scientist,
157,chicago,data science internship  academic year 2018 2019 ,
158,chicago,data scientist  chicago ,
159,chicago,data scientist,
160,chicago,data scientist,
161,chicago,data scientist,
162,chicago,data scientist,
163,chicago,human factors scientist,
164,chicago,data scientist,
165,chicago,staff scientist,
166,chicago,associate data scientist,
167,chicago,data scientist,
168,chicago,data scientist,
169,chicago,lab operations associate,
170,chicago,food safety scientist   chicago  il,
172,chicago,research analyst,
173,chicago,fall data science intern  python programming ,
174,chicago,applied data science internship   2019,
175,chicago,pricing   promotions data scientist,
176,chicago,data scientist,
177,chicago,accounting clerk northbrook  il,
178,chicago,senior data scientist  anomaly detection ,
179,chicago,sr data scientist,
180,chicago,construction intern,
181,chicago,associate scientist,
182,chicago,natural language processing data scientist,
183,chicago,research development senior scientist  nutrition science research,
184,chicago,investment research coordinator analyst,
185,chicago,data science intern  summer 2019 ,
186,chicago,analyst   finalta  new ventures,
187,chicago,district data scientist,
188,chicago,data science intern  schaumburg  summer 2019,
189,chicago,associate  data scientist,
190,chicago,data scientist   quantitative researcher  systematic trading,
191,chicago,research data analyst,
192,chicago,data scientist   quantitative researcher  systematic trading,
193,chicago,machine learning expert  intelligent algorithms   big data   tensorflow ,
194,chicago,data scientist,
196,chicago,us2020 project exploration,
197,chicago,data scientist   applied technology,
198,chicago,project assistant,
199,chicago,data scientist onshore,
200,chicago,patient services representative,
201,chicago,quantitative analyst,
202,chicago,data scientist,
203,san francisco,bioinformatics scientist â€“ assay design,
204,san francisco,senior data scientist,
205,san francisco,senior data scientist,
206,san francisco,image reconstruction,
207,san francisco,junior data analyst,
208,san francisco,data journalist,
209,san francisco,data scientist  machine learning intern,
210,san francisco,data scientist  creators,
211,san francisco,newsroom data scientist,
212,san francisco,data scientist   fall intern,
213,san francisco,data scientist,
214,san francisco,data scientist,
215,san francisco,research financial analyst,
216,san francisco,new graduate data scientist,
219,san francisco,optical research development technician,
221,san francisco,quantitative data analyst  sf ,
222,san francisco,tom graff fellow  diversity water markets,
229,san francisco,new graduate data scientist,
230,san francisco,senior data scientist,
231,san francisco,customer facing data scientist,
233,san francisco,data scientist,
234,san francisco,data scientist,
236,san francisco,data scientist,
237,san francisco,data scientist  real time bidding ,
238,san francisco,research data analyst i,
239,san francisco,data scientist  engineering,
240,san francisco,data scientist,
241,san francisco,senior data scientist,
243,san francisco,bioinformatics scientist â€“ assay design,
244,san francisco,data curator,
245,san francisco,data scientist   ca,
246,san francisco,data scientist,
247,san francisco,data scientist  forecasting,
248,san francisco,security data scientist,
249,san francisco,product manager   data,
250,san francisco,data scientist,
251,san francisco,data scientist   styling algorithms,
252,san francisco,publications assistant   plos one,
253,san francisco,data scientist,
254,san francisco,security data scientist,
255,san francisco,data scientist,
256,san francisco,data scientist,
257,san francisco,data scientist,
258,san francisco,data scientist  gec11901 ,
259,san francisco,data scientist,
260,san francisco,data science and analytics   summer 2019 internship,
261,san francisco,data analyst,
262,san francisco,market research analyst,
263,san francisco,data scientist,
265,san francisco,product data scientist,
266,san francisco,data scientist   ca,
268,san francisco,product data scientist,
269,san francisco,data scientist,
270,san francisco,data curator,
271,san francisco,marketing data analyst,
272,san francisco,data scientist,
273,san francisco,data scientist,
274,san francisco,data scientist ii,
275,san francisco,data scientist  optimization,
276,san francisco,data scientist,
277,san francisco,data scientist,
278,san francisco,recruiter,
279,san francisco,data scientist,
280,san francisco,data scientist   machine learning,
281,san francisco,data scientist,
282,san francisco,data scientist,
283,san francisco,data scientist  product,
284,san francisco,data scientist,
285,san francisco,researcher,
286,san francisco,data scientist,
